"","site","lat","lon","elv","age","Tmin","gdd","alpha","Tmax"
"5290","Serra Mitjana Fen",42.4675,1.5828,2406,855,-3.10215360365899,3185.31575582864,0.816442084225632,13.9625652549769
"5291","Serra Mitjana Fen",42.4675,1.5828,2406,931,-7.19907784794326,2952.40116634475,0.873401201266321,12.8878973873022
"5292","Serra Mitjana Fen",42.4675,1.5828,2406,1007,-3.71443768618028,3382.48577502625,0.798851024391339,15.0458982504487
"5293","Serra Mitjana Fen",42.4675,1.5828,2406,1085,-5.79001126432099,3306.21691164705,0.79984017911148,15.2435272528925
"5294","Serra Mitjana Fen",42.4675,1.5828,2406,1179,-2.46084584660032,3598.32904347985,0.767978129170303,16.0091062481131
"5295","Serra Mitjana Fen",42.4675,1.5828,2406,1241,-3.19537851556714,3547.91001564301,0.762846507778928,16.9032985314589
"5296","Serra Mitjana Fen",42.4675,1.5828,2406,1320,-1.42979585806551,3412.95454263824,0.740883542719136,17.0023978514218
"5297","Serra Mitjana Fen",42.4675,1.5828,2406,1397,-0.806350150820693,3510.21046662473,0.749682947206722,16.8751420640629
"5298","Serra Mitjana Fen",42.4675,1.5828,2406,1490,-4.83285419799193,3608.5786724061,0.675625274250333,17.0263059075742
"5299","El Carrizal",41.3185,-4.145,860,0,2.46204157623849,3057.16981685949,0.914354837905845,12.6580306393709
"5300","El Carrizal",41.3185,-4.145,860,162,4.45406755210588,3497.12387826124,0.784728484494119,14.9278146499362
"5301","El Carrizal",41.3185,-4.145,860,358,3.80161620141427,3480.74845064732,0.804839929190586,14.5276806650351
"5302","El Carrizal",41.3185,-4.145,860,528,4.77132260704445,3773.93938886976,0.733223446781723,16.2193839719663
"5303","El Carrizal",41.3185,-4.145,860,683,3.09651413912532,3275.92510240174,0.831156772158904,13.6239120191372
"5304","El Carrizal",41.3185,-4.145,860,839,4.75454701489466,3947.21913781892,0.669231809127531,17.2347609929392
"5305","El Carrizal",41.3185,-4.145,860,997,5.24452154405598,3593.93132075687,0.810761723674416,14.3630042335701
"5306","El Carrizal",41.3185,-4.145,860,1154,6.02517762277157,4107.0458158843,0.66375932969701,16.7288186100779
"5307","El Carrizal",41.3185,-4.145,860,1300,1.27210195532283,3732.89279483566,0.651785587006759,16.2043046249407
"5308","El Carrizal",41.3185,-4.145,860,1431,4.26404148337429,3838.5319426485,0.699419091703495,16.8029474217928
"5309","El Carrizal",41.3185,-4.145,860,1606,5.16068409751801,3777.24415316332,0.731943234173884,16.4174920641098
"5310","El Carrizal",41.3185,-4.145,860,1793,5.05984721571357,3788.82858515594,0.726713143683049,16.2547468616379
"5311","El Carrizal",41.3185,-4.145,860,2006,3.35780354522069,4124.60783118606,0.640871391022403,17.561275800021
"5312","El Carrizal",41.3185,-4.145,860,2321,4.62720685904126,3689.93254098273,0.740401739550887,15.5612337462142
"5313","El Carrizal",41.3185,-4.145,860,2598,5.05077826924445,3647.38947384067,0.757218101017579,15.3974356842549
"5314","El Carrizal",41.3185,-4.145,860,2769,3.07196903648013,3894.36113529209,0.695079971586209,16.8376002761036
"5315","El Carrizal",41.3185,-4.145,860,2994,5.19723300669939,3840.01915094875,0.714106166899912,16.2246671442244
"5316","El Carrizal",41.3185,-4.145,860,3223,4.83081678010396,3825.74651628634,0.737475433073056,15.9796170152047
"5317","El Carrizal",41.3185,-4.145,860,3449,5.07459244520761,3626.26086118614,0.757571293516593,15.83406507981
"5318","El Carrizal",41.3185,-4.145,860,3664,4.52868290408825,3924.95960594857,0.69786360881883,17.0045511845977
"5319","El Carrizal",41.3185,-4.145,860,3879,5.40556686363425,3685.10201754595,0.75147657820614,15.8641774805813
"5320","El Carrizal",41.3185,-4.145,860,4093,5.4279781255236,3860.34417690707,0.708246306547398,16.1226092495874
"5321","El Carrizal",41.3185,-4.145,860,4291,4.81908575630801,3848.01821513779,0.678605750042416,16.713360726535
"5322","El Carrizal",41.3185,-4.145,860,4504,4.21843523980895,4020.61735074884,0.652528782290782,17.7585194335467
"5323","El Carrizal",41.3185,-4.145,860,4753,5.00207915306997,3767.28555508008,0.724148703357809,16.3418684543038
"5324","El Carrizal",41.3185,-4.145,860,5053,4.78103155332805,3690.62931053412,0.716479268520721,16.1214224694271
"5325","El Carrizal",41.3185,-4.145,860,5339,5.12794226031316,3966.63891220963,0.678697540348735,17.6326728836456
"5326","El Carrizal",41.3185,-4.145,860,5643,5.15804702068098,3699.44940471193,0.727281433838006,16.0753152613791
"5327","El Carrizal",41.3185,-4.145,860,5952,4.68359294902102,3827.37343195718,0.675278489227823,16.4817337411185
"5328","El Carrizal",41.3185,-4.145,860,6277,4.93872163639525,3787.06997946051,0.712841785789265,16.1926726700086
"5329","El Carrizal",41.3185,-4.145,860,6608,4.01737385092375,4072.34760497153,0.635003111954154,18.7971919036101
"5330","El Carrizal",41.3185,-4.145,860,6922,3.09597883130967,4177.64940031251,0.589759038956246,19.2962847713784
"5331","El Carrizal",41.3185,-4.145,860,7245,4.4101007480952,4191.91475497812,0.622294640632285,19.8292724516578
"5332","El Carrizal",41.3185,-4.145,860,7583,4.9530880259788,3820.41460492683,0.704894380373564,17.0114719436632
"5333","El Carrizal",41.3185,-4.145,860,7917,4.97412390850894,4328.04045194414,0.630415460434282,20.3620781022242
"5334","El Carrizal",41.3185,-4.145,860,8229,5.15078260362707,4415.66197051128,0.593440160111793,20.4596211714228
"5335","El Carrizal",41.3185,-4.145,860,8521,4.64088560273176,4529.98304662474,0.573886159641853,21.6863217230893
"5336","El Carrizal",41.3185,-4.145,860,8746,4.03031892221547,4106.60424025748,0.631833704062102,19.8374206171193
"5337","El Carrizal",41.3185,-4.145,860,8895,3.52467515057266,3981.84994020894,0.650327360948558,18.2640632737562
"5338","El Carrizal",41.3185,-4.145,860,9010,4.48733168566559,4208.62266210729,0.633872126126492,19.6531775512185
"5339","El Carrizal",41.3185,-4.145,860,9122,4.4102137033712,3945.56561708113,0.674944275069788,18.0938929178517
"5340","El Carrizal",41.3185,-4.145,860,9234,4.43056013417074,3981.12819696997,0.638935335818581,18.3835791360481
"5341","El Carrizal",41.3185,-4.145,860,9341,4.12437271237381,3809.77752683842,0.665207147591512,17.9264215909689
"5342","El Carrizal",41.3185,-4.145,860,9439,2.2879268001074,3212.20326525594,0.728632472181107,16.0265598393544
"5343","El Carrizal",41.3185,-4.145,860,9507,4.27030911732968,3774.96911956577,0.65710612884565,17.4105948125843
"5344","El Carrizal",41.3185,-4.145,860,9609,4.8146578569472,4137.31743801883,0.584714139925929,18.4989377853796
"5345","El Carrizal",41.3185,-4.145,860,9676,4.36063672960007,3920.62145814006,0.643282673875489,18.2777696901875
"5346","El Carrizal",41.3185,-4.145,860,9735,4.72575375746093,3779.59528016428,0.678264314210004,16.7296333791429
"5347","El Carrizal",41.3185,-4.145,860,9793,2.9224294193896,3908.35313147323,0.593645284825203,19.5524261874798
"5348","El Carrizal",41.3185,-4.145,860,9851,3.32940261933882,3591.88373812889,0.703974444313021,17.0727105917008
"5349","Arbarrain Mire",43.2114,-2.1729,1004,78,0.650390029199607,3907.59465008125,0.788321316107371,18.7577220927528
"5350","Arbarrain Mire",43.2114,-2.1729,1004,143,1.48910523795915,3796.5367436368,0.794040128542093,18.0735768622898
"5351","Arbarrain Mire",43.2114,-2.1729,1004,201,1.06271691952146,3655.9126929131,0.799425582812783,18.6581960789207
"5352","Arbarrain Mire",43.2114,-2.1729,1004,265,0.971307237301454,3709.9628641662,0.789295369828358,18.6777957905664
"5353","Arbarrain Mire",43.2114,-2.1729,1004,325,1.1523770210316,3806.82868799024,0.784029715235699,18.4830087696727
"5354","Arbarrain Mire",43.2114,-2.1729,1004,378,1.38231293837572,3949.30421247459,0.75975315460786,18.8079134237
"5355","Arbarrain Mire",43.2114,-2.1729,1004,433,1.56424256507109,3988.5404559853,0.748896450003476,18.9442116825705
"5356","Arbarrain Mire",43.2114,-2.1729,1004,489,1.56424256507109,3988.5404559853,0.748896450003476,18.9442116825705
"5357","Arbarrain Mire",43.2114,-2.1729,1004,551,1.84820413227306,4032.60762146648,0.793508525710448,18.508911966607
"5358","Arbarrain Mire",43.2114,-2.1729,1004,606,1.84820413227306,4032.60762146648,0.793508525710448,18.508911966607
"5359","Arbarrain Mire",43.2114,-2.1729,1004,661,0.903215482569061,3846.82628303074,0.799404539460951,18.6264279480531
"5360","Arbarrain Mire",43.2114,-2.1729,1004,711,0.862015891244007,3833.73282820039,0.801353327676705,18.6759540928761
"5361","Arbarrain Mire",43.2114,-2.1729,1004,764,0.489342703826399,3858.14592607641,0.782782774283725,18.637306404279
"5362","Arbarrain Mire",43.2114,-2.1729,1004,815,0.886234625997898,3942.52476692118,0.763847434414477,18.9292812744421
"5363","Arbarrain Mire",43.2114,-2.1729,1004,872,1.06900947281673,3958.70395557654,0.758493089342336,19.0979420475584
"5364","Arbarrain Mire",43.2114,-2.1729,1004,925,0.674756057406225,3910.61174840301,0.774135292011717,19.5504771191096
"5365","Arbarrain Mire",43.2114,-2.1729,1004,981,0.779850383694869,3946.75990063102,0.756087681881403,20.6601230846255
"5366","Arbarrain Mire",43.2114,-2.1729,1004,1028,0.861055275117148,3952.96463084799,0.756849664286726,20.797899502399
"5367","Arbarrain Mire",43.2114,-2.1729,1004,1081,0.585321216835794,3859.00282637424,0.776173882114745,20.4348898121756
"5368","Arbarrain Mire",43.2114,-2.1729,1004,1136,1.66261580925669,3769.53363875767,0.797603090523505,18.6846741603089
"5369","Arbarrain Mire",43.2114,-2.1729,1004,1187,1.84500953728727,3746.17485206704,0.801692406110661,18.2702444211628
"5370","Arbarrain Mire",43.2114,-2.1729,1004,1244,1.17631477454866,3733.5505366486,0.805885903863927,18.0254825657858
"5371","Arbarrain Mire",43.2114,-2.1729,1004,1297,1.63665701027199,3685.16659609871,0.815793744958096,17.8617936918981
"5372","Arbarrain Mire",43.2114,-2.1729,1004,1350,2.28939156197669,3728.59854928172,0.816140564893596,17.7145313656874
"5373","Arbarrain Mire",43.2114,-2.1729,1004,1406,0.93511143115915,3836.37857831191,0.79031396651858,19.9828636900011
"5374","Arbarrain Mire",43.2114,-2.1729,1004,1464,0.607122121623286,3757.75655441594,0.794984247942314,20.1451874560446
"5375","Arbarrain Mire",43.2114,-2.1729,1004,1519,0.359593103684237,3823.90664281308,0.773049573134731,20.6363815254213
"5376","Arbarrain Mire",43.2114,-2.1729,1004,1577,0.311401292633485,3662.1873231289,0.787385897264694,19.5105786564026
"5377","Arbarrain Mire",43.2114,-2.1729,1004,1628,1.26101042676351,3650.29137609101,0.804765714381346,18.9483340025635
"5378","Arbarrain Mire",43.2114,-2.1729,1004,1688,0.698254164786843,3956.46868408352,0.768857181570264,21.2984078438905
"5379","Arbarrain Mire",43.2114,-2.1729,1004,1748,-0.246479947642866,3639.90353535343,0.798916243812182,19.9275696725015
"5380","Arbarrain Mire",43.2114,-2.1729,1004,1802,-0.568241230625363,3555.66313924083,0.812234609706494,19.3738671222091
"5381","Arbarrain Mire",43.2114,-2.1729,1004,1864,-0.0189427237625308,3730.24308038198,0.783033613446491,19.5129444993947
"5382","Arbarrain Mire",43.2114,-2.1729,1004,1916,2.66248596996936,3836.96656812845,0.797628756496127,17.6481295213881
"5383","Arbarrain Mire",43.2114,-2.1729,1004,1971,2.73497979193431,3761.30012817803,0.788858884995951,17.5398259502918
"5384","Arbarrain Mire",43.2114,-2.1729,1004,2024,1.48580844881827,4107.70956907785,0.738704794294106,22.2729140425161
"5385","Arbarrain Mire",43.2114,-2.1729,1004,2073,0.707111988564184,3918.56330921048,0.751826038473328,21.6486700015412
"5386","Arbarrain Mire",43.2114,-2.1729,1004,2139,0.31288363365048,3616.87762333735,0.804688089516972,20.470792126408
"5387","Arbarrain Mire",43.2114,-2.1729,1004,2197,2.04725653505112,3745.21596282353,0.788259467650823,19.2228150292926
"5388","Arbarrain Mire",43.2114,-2.1729,1004,2248,1.51019400130341,3884.05623424247,0.77269122638589,19.7329241069319
"5389","Arbarrain Mire",43.2114,-2.1729,1004,2301,1.55899334042469,3868.82753814188,0.759754564443217,19.2959459862618
"5390","Arbarrain Mire",43.2114,-2.1729,1004,2355,1.76206817856502,3863.44994097608,0.772141737119754,19.2676128120884
"5391","Arbarrain Mire",43.2114,-2.1729,1004,2405,1.71858684683715,3769.86722734525,0.791002492224764,18.9987173155184
"5392","Arbarrain Mire",43.2114,-2.1729,1004,2463,1.77432066034681,3629.19988039845,0.817191777414565,18.2751397337827
"5393","Arbarrain Mire",43.2114,-2.1729,1004,2539,0.999879816490584,3454.77791193502,0.84585280317242,18.2777640168882
"5394","Arbarrain Mire",43.2114,-2.1729,1004,2631,-0.0136184805495381,3424.44207112767,0.839052186453598,19.1915926708518
"5395","Arbarrain Mire",43.2114,-2.1729,1004,2716,0.0692512705113169,3438.80764224634,0.837016697264898,19.2177782625358
"5396","Arbarrain Mire",43.2114,-2.1729,1004,2824,0.875069310520859,3590.3982901934,0.807059331860944,18.342158596251
"5397","Arbarrain Mire",43.2114,-2.1729,1004,2918,1.73575530293872,3735.19597117852,0.796020034748371,18.7326316779532
"5398","Arbarrain Mire",43.2114,-2.1729,1004,3043,1.54494024246127,3760.89710613435,0.792000544371877,19.207222442904
"5399","Arbarrain Mire",43.2114,-2.1729,1004,3166,2.19944286316613,3794.97345980713,0.785704007819788,19.043942080844
"5400","Arbarrain Mire",43.2114,-2.1729,1004,3281,1.25006408047903,4118.99648201009,0.74479470275003,21.608787280286
"5401","Arbarrain Mire",43.2114,-2.1729,1004,3400,1.07775046403462,4123.59225356112,0.747059015743271,21.6000531120265
"5402","Arbarrain Mire",43.2114,-2.1729,1004,3519,-0.221552756062991,3604.33111565301,0.816056002345341,19.3708755592737
"5403","Arbarrain Mire",43.2114,-2.1729,1004,3644,-0.962508362142079,3384.80634122137,0.844634466829054,18.6517462480854
"5404","Arbarrain Mire",43.2114,-2.1729,1004,3760,-1.0057824065497,3366.02564600796,0.849855849729768,18.6319598497584
"5405","Arbarrain Mire",43.2114,-2.1729,1004,3885,0.769733439347007,3592.81376522307,0.822758332306833,19.4327719967461
"5406","Arbarrain Mire",43.2114,-2.1729,1004,3981,1.14629573995304,3640.24923505162,0.823670324098596,19.215866549409
"5407","Arbarrain Mire",43.2114,-2.1729,1004,4093,1.56046298286028,3785.19177169619,0.781894041823139,19.4786641931105
"5408","Arbarrain Mire",43.2114,-2.1729,1004,4165,0.263981426630481,3509.78138166197,0.812849737576626,19.1144260564823
"5409","Arbarrain Mire",43.2114,-2.1729,1004,4232,1.02157967443853,3598.25213559145,0.804461838834456,19.0149768694012
"5410","Arbarrain Mire",43.2114,-2.1729,1004,4309,1.85467402255695,3653.60299008863,0.792132799777041,19.0382771072467
"5411","Arbarrain Mire",43.2114,-2.1729,1004,4380,1.66257417101786,3602.25545452576,0.807478687306436,18.7459099436016
"5412","Arbarrain Mire",43.2114,-2.1729,1004,4451,1.72901189549708,3568.55503168408,0.823702003682056,18.6578258764453
"5413","Arbarrain Mire",43.2114,-2.1729,1004,4525,1.50192446848085,3587.10045073318,0.807655477218408,18.862916062632
"5414","Arbarrain Mire",43.2114,-2.1729,1004,4590,1.53773062790493,3590.85454820882,0.807753365920832,18.8485329793576
"5415","Arbarrain Mire",43.2114,-2.1729,1004,4663,3.07700711623124,3965.56145007858,0.780886025012123,18.9205996998788
"5416","Arbarrain Mire",43.2114,-2.1729,1004,4766,3.05363306340881,3962.96962592173,0.780723719827347,18.9427426289411
"5417","Arbarrain Mire",43.2114,-2.1729,1004,4848,3.02293606835032,3957.27422207899,0.780523254724848,18.9418445785207
"5418","Arbarrain Mire",43.2114,-2.1729,1004,4967,4.88119011925326,3637.33457837538,0.899514221083682,15.0192170643244
"5419","Arbarrain Mire",43.2114,-2.1729,1004,5077,5.00780977328678,3596.92840460883,0.900125839985043,14.9094130141383
"5420","Arbarrain Mire",43.2114,-2.1729,1004,5206,4.84352080329789,3614.00709498674,0.900864054223021,15.0202103319113
"5421","Arbarrain Mire",43.2114,-2.1729,1004,5332,1.26688473591815,3910.86220857682,0.821853504612281,17.9981742767005
"5422","Arbarrain Mire",43.2114,-2.1729,1004,5446,0.71066886760054,3903.61368589459,0.815587178534977,18.140319704113
"5423","Arbarrain Mire",43.2114,-2.1729,1004,5566,1.02614197782115,3853.76446530688,0.819697968443432,17.7907254201507
"5424","Arbarrain Mire",43.2114,-2.1729,1004,5681,1.8151723278323,3926.25539371455,0.803461805593376,18.240397274944
"5425","Arbarrain Mire",43.2114,-2.1729,1004,5795,0.89453396149098,3819.73069007295,0.824988244490901,18.3043548910906
"5426","Arbarrain Mire",43.2114,-2.1729,1004,5855,0.911644648753886,3816.90990835039,0.824874196430871,18.2556232218409
"5427","Arbarrain Mire",43.2114,-2.1729,1004,5916,3.72973273802903,3669.18705601754,0.836982738111993,16.1280441378709
"5428","Arbarrain Mire",43.2114,-2.1729,1004,5972,3.7300542173345,3672.7674152759,0.835343008926172,16.1331746537687
"5429","Arbarrain Mire",43.2114,-2.1729,1004,6026,3.17481070539058,3669.68684868472,0.846257890952759,16.4153734371113
"5430","Arbarrain Mire",43.2114,-2.1729,1004,6071,0.860824417280043,3829.68213628072,0.813095244767939,18.2413122059726
"5431","Arbarrain Mire",43.2114,-2.1729,1004,6118,0.829167357609671,3774.33833719531,0.829093061039963,17.9443583987485
"5432","Arbarrain Mire",43.2114,-2.1729,1004,6168,2.00384732771987,3889.16767769692,0.812419359359597,18.1454543416808
"5433","Arbarrain Mire",43.2114,-2.1729,1004,6216,1.6181860956161,3816.9792433924,0.825272955276625,18.1854557704001
"5434","Arbarrain Mire",43.2114,-2.1729,1004,6288,1.72429082683469,3816.56095872519,0.827264661171129,18.2119128669401
"5435","Arbarrain Mire",43.2114,-2.1729,1004,6363,1.87484724077889,3833.26714093539,0.821231734477804,18.2984595153949
"5436","Arbarrain Mire",43.2114,-2.1729,1004,6538,2.24250111820926,3851.60340296051,0.814176068784056,18.3288573652789
"5437","Arbarrain Mire",43.2114,-2.1729,1004,6710,2.08304858339946,3906.09410172889,0.816197760320846,18.6794908786906
"5438","Arbarrain Mire",43.2114,-2.1729,1004,6796,2.08682838701552,3854.61237819346,0.811699269809504,19.2973634053711
"5439","Arbarrain Mire",43.2114,-2.1729,1004,6872,1.63770329030969,3803.81460698201,0.792212443852339,19.1813098132406
"5440","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-41,1.79868679147984,3781.39833560864,0.755873058456549,16.2057810853758
"5441","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-36,1.93617393843688,3755.68054398225,0.757696513069505,16.1182933002112
"5442","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-31,2.12975170523821,3811.07706767313,0.738908919223867,16.2259575794879
"5443","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-26,2.55406404469093,3815.36229163111,0.728824327635966,16.463059588014
"5444","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-21,2.4828130818804,3835.58928272053,0.733229286650825,16.4583364329137
"5445","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-16,3.49343488570075,3896.347735944,0.714587295888419,16.425379902671
"5446","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-11,3.24674954398658,3886.84622744723,0.712926123134691,16.3167008469268
"5447","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-6,2.37111863160144,3803.19370778943,0.732870072087877,16.3655563250868
"5448","Arroyo de Aguas Frias",40.2667,-5.1167,1120,-1,2.67548926575341,3815.04253049153,0.73043254834528,16.3347235262578
